%time,field.header.seq,field.header.stamp,field.header.frame_id,field.poses0.position.x,field.poses0.position.y,field.poses0.position.z,field.poses0.orientation.x,field.poses0.orientation.y,field.poses0.orientation.z,field.poses0.orientation.w,field.poses1.position.x,field.poses1.position.y,field.poses1.position.z,field.poses1.orientation.x,field.poses1.orientation.y,field.poses1.orientation.z,field.poses1.orientation.w,field.poses2.position.x,field.poses2.position.y,field.poses2.position.z,field.poses2.orientation.x,field.poses2.orientation.y,field.poses2.orientation.z,field.poses2.orientation.w
1539699407781301975,1,1539699407781301975,map,-0.000361029664841,-1.20645165222e-05,0.0,0.0,0.0,-3.16201760111e-05,0.0,-1.9309387832e-05,0.000329612437189,0.0,0.0,0.0,0.000244547440342,0.0,-0.00070274994185,-0.000353741470233,0.0,0.0,0.0,-0.000307787792364,0.0
1539699407848299265,2,1539699407848299265,map,-0.000342965536417,-1.63134312956e-05,0.0,0.0,0.0,-4.88176432999e-05,0.0,3.45550572652e-05,0.000361167643263,0.0,0.0,0.0,0.000241939984685,0.0,-0.000720486130099,-0.000393794505854,0.0,0.0,0.0,-0.000339575271285,0.0
1539699407914976597,3,1539699407914976597,map,-0.000347590984438,-1.95997985146e-05,0.0,0.0,0.0,-0.000120339260448,0.0,2.9929609244e-05,0.000357881276044,0.0,0.0,0.0,0.000170418367537,0.0,-0.00072511157812,-0.000397080873073,0.0,0.0,0.0,-0.000411096888433,0.0
1539699407981159925,4,1539699407981159925,map,-0.000380923498719,-8.08630480753e-06,0.0,0.0,0.0,-3.38349146893e-05,0.0,7.69357256427e-06,0.000380489039359,0.0,0.0,0.0,0.00027361545286,0.0,-0.000769540570001,-0.000396661648975,0.0,0.0,0.0,-0.000341285282239,0.0
1539699408048057795,5,1539699408048057795,map,-0.000348048151086,-1.88178954561e-05,0.0,0.0,0.0,-2.29054149672e-05,0.0,4.54860137676e-05,0.000374673977268,0.0,0.0,0.0,0.000288957236053,0.0,-0.000741582315939,-0.000412309768181,0.0,0.0,0.0,-0.000334768065987,0.0
1539699408114578009,6,1539699408114578009,map,-0.000464925967869,-1.38733053814e-05,0.0,0.0,0.0,-5.94966083579e-05,0.0,-4.5513316373e-05,0.000405486576281,0.0,0.0,0.0,0.00026941636239,0.0,-0.000884338619364,-0.000433233187044,0.0,0.0,0.0,-0.000388409579106,0.0
1539699408181751013,7,1539699408181751013,map,-0.000465665310123,-1.33507166065e-05,0.0,0.0,0.0,-5.74047895117e-05,0.0,-4.62526586275e-05,0.000406009165056,0.0,0.0,0.0,0.000271508181236,0.0,-0.000885077961619,-0.000432710598269,0.0,0.0,0.0,-0.00038631776026,0.0
1539699408248783827,8,1539699408248783827,map,-0.000678310440252,-2.14190645704e-05,0.0,0.0,0.0,-8.18283178876e-05,0.0,-0.00020447887014,0.000452315734293,0.0,0.0,0.0,0.000276882425399,0.0,-0.00115214201036,-0.000495153863434,0.0,0.0,0.0,-0.000440539061174,0.0
1539699408314619541,9,1539699408314619541,map,-0.000529157703789,-2.92358108551e-05,0.0,0.0,0.0,-0.000335451784797,0.0,-0.000110635123824,0.000389224987433,0.0,0.0,0.0,3.75974241585e-05,0.0,-0.000947680283754,-0.000447696609143,0.0,0.0,0.0,-0.000708500993752,0.0
1539699408381649971,10,1539699408381649971,map,-0.000585832996076,-3.50300551488e-05,0.0,0.0,0.0,-0.000320152970711,0.0,-0.000130193519429,0.000420544466964,0.0,0.0,0.0,7.09827589646e-05,0.0,-0.00104147247272,-0.000490604577262,0.0,0.0,0.0,-0.000711288700386,0.0
1539699408465208054,11,1539699408465208054,map,-0.00058426293878,-3.4432379808e-05,0.0,0.0,0.0,-0.000297400931836,0.0,-0.000128623462133,0.000421142142305,0.0,0.0,0.0,9.37347978395e-05,0.0,-0.00103990241543,-0.000490006901921,0.0,0.0,0.0,-0.000688536661511,0.0
1539699408532093525,12,1539699408532093525,map,-0.000641647597248,-1.01977812414e-05,0.0,0.0,0.0,-0.000138449347459,0.0,-0.000155282222651,0.000476098127292,0.0,0.0,0.0,0.000277664852376,0.0,-0.00112801297184,-0.000496493689775,0.0,0.0,0.0,-0.000554563547293,0.0
1539699408598791838,13,1539699408598791838,map,-0.000670827676647,-5.97028215199e-06,0.0,0.0,0.0,-2.00529598798e-05,0.0,-0.000182759975945,0.000482029101339,0.0,0.0,0.0,0.000398711652718,0.0,-0.00115889537735,-0.000493969665643,0.0,0.0,0.0,-0.000438817572478,0.0
1539699408665185928,14,1539699408665185928,map,-0.000652382087226,-2.60966543983e-05,0.0,0.0,0.0,-0.000197555502009,0.0,-0.000164314386523,0.000461902729092,0.0,0.0,0.0,0.000221209110589,0.0,-0.00114044978793,-0.000514096037889,0.0,0.0,0.0,-0.000616320114607,0.0
1539699408731235504,15,1539699408731235504,map,-0.000733241687069,-2.62529010184e-05,0.0,0.0,0.0,-0.000249586867627,0.0,-0.000235292362997,0.0004716218288,0.0,0.0,0.0,0.000187515834624,0.0,-0.00123119101114,-0.000524127630837,0.0,0.0,0.0,-0.000686689569878,0.0
